month,date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,day,nat_region,flag_ind,pcp_ideam,pcp_ideam_flag,na_count_ideam,chirpv2,chirpv3,chirpsv2,chirpsv3_era5,chirpsv3_imerg,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,pentad_id,factor,pcp_ideam_flag_scale
01,2013-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2013,31,Caribe,Preliminar,0,0,0,0.178510203957558,0.178510203957558,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2016-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2016,30,Caribe,Preliminar,0,0,0,1.51503443717957,1.51503443717957,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2016-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2016,31,Caribe,Preliminar,0,0,0,0.0680639669299126,0.0680639669299126,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2019-01-29,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2019,29,Caribe,Preliminar,0,0,0,0.863548994064331,0.863548994064331,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2019-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2019,30,Caribe,Preliminar,0,0,0,0.40149337053299,0.40149337053299,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2019-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2019,31,Caribe,Preliminar,0,0,0,0.105142571032047,0.105142571032047,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2022-01-29,25027410,0,Preliminar,REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2022,29,Caribe,Preliminar,0,0,0,1.09605097770691,1.09605097770691,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2022-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2022,30,Caribe,Preliminar,0,0,0,0.928815424442291,0.928815424442291,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2022-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2022,31,Caribe,Preliminar,0,0,0,0.16355000436306,0.16355000436306,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2023-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2023,31,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2021-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2021,31,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2021-01-28,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2021,28,Caribe,Preliminar,0,0,0,2.4142951965332,2.4142951965332,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2023-01-26,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2023,26,Caribe,Preliminar,0,0,0,4.06853771209717,4.06853771209717,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
