gauge_code,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,nat_region,flag_ind,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,map
12040020,,CANALETE [12040020],Pluviométrica,Convencional,Activa,Córdoba,Canalete,8.7869,-76.2356,40,1/15/1959,,Cno Vide,Caribe,Caribe - Litoral,Rio Canalete y otros Arroyos Directos al Caribe,Caribe,Preliminar,48.166,4.157,47.677,8.7869,-76.2356,1.650909066,2.341818094,3,3,1527.99407
12045010,Definitivo,ARBOLETES [12045010],Climática Principal,Convencional,Activa,Antioquia,Arboletes,8.8469,-76.4319,4,3/15/1972,,Magdalena,Caribe,Caribe - Litoral,Rio Canalete y otros Arroyos Directos al Caribe,Caribe,Definitivo,66.372,0,33.628,8.8469,-76.4319,0.75272727,0.778181791,1,1,1464.170676
13030010,,TIERRALTA [13030010],Pluviométrica,Convencional,Activa,Córdoba,Tierralta,8.1867,-76.0531,100,2/15/1959,,Canal Floresta,Caribe,Sinú,Medio Sinú,Caribe,Preliminar,24.931,7.442,67.626,8.1867,-76.0531,1.185454488,1.679999948,2,2,1712.170638
13040030,,PEZVAL [13040030],Pluviométrica,Convencional,Activa,Córdoba,Valencia,8.2622,-76.1692,80,9/15/1990,,Cauca,Caribe,Sinú,Medio Sinú,Caribe,Preliminar,18.755,3.62,77.625,8.2622,-76.1692,0.549090922,0.814545453,1,1,1565.117744
13060010,,SAN ANTERITO [13060010],Pluviométrica,Convencional,Activa,Córdoba,Montería,8.5578,-75.8611,75,9/15/1973,,Cano Mojana,Caribe,Sinú,Medio Sinú,Caribe,Preliminar,12.137,5.244,82.619,8.5578,-75.8611,2.647272825,3.75999999,6,6,1423.751929
13060020,,BUENOS AIRES [13060020],Pluviométrica,Convencional,Activa,Córdoba,Montería,8.4758,-75.7653,55,8/15/1965,,Sinu,Caribe,Sinú,Medio Sinú,Caribe,Preliminar,33.795,0,66.205,8.4758,-75.7653,1.516363621,2.327272654,3,3,1490.147877
13060030,Preliminar,CARAMELO [13060030],Pluviométrica,Convencional,Activa,Córdoba,Tierralta,8.2661,-75.9039,60,12/15/1965,,Cauca,Caribe,Sinú,Medio Sinú,Caribe,Preliminar,0,22.53,77.47,8.2661,-75.9039,1.516363621,2.327272654,3,3,1255.225687
13070020,,MOMIL [13070020],Pluviométrica,Convencional,Activa,Córdoba,Momil,9.2344,-75.6881,20,10/14/1973 19:00,,Cga. Grande,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,42.301,1.517,56.182,9.2344,-75.6881,1.854545474,2.574545383,3,3,1490.051319
13070040,,RABOLARGO [13070040],Pluviométrica,Convencional,Activa,Córdoba,Cereté,8.9506,-75.7425,19,1/15/1963,,Cga. Mantequera,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,18.516,5.316,76.168,8.9506,-75.7425,3.4909091,5.905454636,8,8,1538.393423
13070050,,CERETE [13070050],Pluviométrica,Convencional,Activa,Córdoba,Cereté,8.8903,-75.7863,20,1/15/1963,,Bzo Papayal,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,19.245,5.722,75.033,8.8903,-75.7863,8.869091034,9.709091187,15,15,1410.588727
13070070,,BOCA DE LA CEIBA [13070070],Pluviométrica,Convencional,Activa,Córdoba,Montería,8.8299,-75.8561,20,1/15/1970,,Cno Bugre,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,53.924,1.744,44.332,8.8299,-75.8561,8.869091034,9.709091187,15,15,1438.063894
13070090,,SAN CARLOS [13070090],Pluviométrica,Convencional,Activa,Córdoba,San Carlos (Córdoba),8.7906,-75.7014,60,1/15/1964,,Canalete,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,12.484,4.205,83.311,8.7906,-75.7014,3.4909091,5.905454636,8,8,1554.828222
13070100,,SANTA ROSA [13070100],Pluviométrica,Convencional,Activa,Córdoba,San Carlos (Córdoba),8.7411,-75.6014,140,1/15/1963,,San Juan D Uraba,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,35.623,0,64.377,8.7411,-75.6014,1.061818123,1.585454583,2,2,1651.172861
13070110,,CARRIZAL [13070110],Pluviométrica,Convencional,Activa,Córdoba,San Carlos (Córdoba),8.6819,-75.7535,40,8/15/1965,,Catatumbo,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,11.301,2.998,85.701,8.6819,-75.7535,2.647272825,3.75999999,6,6,1561.547223
13070170,,BUENOS AIRES 1 [13070170],Pluviométrica,Convencional,Activa,Córdoba,San Carlos (Córdoba),8.7728,-75.7497,9,8/15/1978,,San Juan D Uraba,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,13.26,4.946,81.794,8.7728,-75.7497,3.4909091,5.905454636,8,8,1567.188388
13070180,Definitivo,CARRILLO [13070180],Pluviométrica,Convencional,Activa,Córdoba,San Pelayo,8.9844,-75.8318,20,3/15/1979,,Cno Tapoa,Caribe,Sinú,Bajo Sinú,Caribe,Definitivo,98.053,0,1.947,8.9844,-75.8318,8.869091034,9.709091187,15,15,1271.627064
13070280,,SABANAL [13070280],Pluviométrica,Convencional,Activa,Córdoba,Montería,8.7886,-75.7514,10,6/15/1978,,Canalete,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,15.339,10.584,74.077,8.7886,-75.7514,8.869091034,9.709091187,15,15,1407.596095
13070430,,VENECIA [13070430],Pluviométrica,Convencional,Activa,Córdoba,San Andrés De Sotavento,9.1953,-75.5411,50,8/15/1987,,Animito,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,22.9,7.956,69.143,9.1953,-75.5411,1.854545474,2.574545383,3,3,1240.592455
13075010,,CHIMA [13075010],Climática Ordinaria,Convencional,Activa,Córdoba,Chima (Córdoba),9.1508,-75.6221,20,10/15/1973,,Lago Cuesta Abaj,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,0,1.111,98.889,9.1508,-75.6221,1.854545474,2.574545383,3,3,885.9131914
13075020,,SALADO EL [13075020],Climática Ordinaria,Convencional,Activa,Córdoba,Ciénaga De Oro,8.9139,-75.5822,40,10/15/1964,,San Jorge,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,30.522,0,69.478,8.9139,-75.5822,3.4909091,5.905454636,8,8,1337.877899
13075030,,TURIPANA [13075030],Agrometeorológica,Convencional,Activa,Córdoba,Cereté,8.8395,-75.8019,20,5/15/1960,,Magdalena,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,24.812,0,75.188,8.8395,-75.8019,8.869091034,9.709091187,15,15,1295.17143
13080010,,SAN ANTONIO [13080010],Pluviométrica,Convencional,Activa,Córdoba,San Pelayo,8.9359,-75.9533,50,9/15/1965,,Cno Violo,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,31.036,0,68.964,8.9359,-75.9533,8.869091034,9.709091187,15,15,1527.003192
13085030,,SAN BERNARDO DEL VIENTO [13085030],Climática Ordinaria,Convencional,Activa,Córdoba,San Bernardo Del Viento,9.37,-75.95,22,11/15/1964,,0,Caribe,Sinú,Bajo Sinú,Caribe,Preliminar,23.247,0.096,76.658,9.37,-75.95,2.305454493,4.145454407,6,6,1397.938652
13090010,,SABANETICA [13090010],Pluviométrica,Convencional,Activa,Sucre,San Onofre,9.8289,-75.4328,1,4/15/1974,,Magdalena,Magdalena Cauca,Bajo Magdalena,Canal del Dique margen izquierda,Caribe,Preliminar,10.907,3.811,85.283,9.8289,-75.4328,6.894545555,11.92000008,16,16,1313.713681
